Code Class,Name,Accession,20180209_USDA 45 020918_1 B cell _07.RCC,20180209_USDA 45 020918_1 CD4+ CD8+_03.RCC,20180209_USDA 45 020918_1 CD4+ CD8-_04.RCC,20180209_USDA 45 020918_1 CD4- CD8+_05.RCC,20180209_USDA 45 020918_1 Gd T cell_01.RCC,20180209_USDA 45 020918_1 Monocyte_02.RCC,20180209_USDA 45 020918_1 NK cell_06.RCC,20180209_USDA 45 020918_2 CD4+ CD8+_10.RCC,20180209_USDA 45 020918_2 CD4+ CD8-_12.RCC,20180209_USDA 45 020918_2 CD4- CD8+_11.RCC,20180209_USDA 45 020918_2 Gd T cell_08.RCC,20180209_USDA 45 020918_2 Monocyte_09.RCC,20180209_USDA 46 020918_1 PBMC_10.RCC,20180209_USDA 46 020918_2 B cell _02.RCC,20180209_USDA 46 020918_2 NK cell_01.RCC,20180209_USDA 46 020918_2 PBMC_11.RCC,20180209_USDA 46 020918_3 B cell _09.RCC,20180209_USDA 46 020918_3 CD4+ CD8+_05.RCC,20180209_USDA 46 020918_3 CD4+ CD8-_06.RCC,20180209_USDA 46 020918_3 CD4- CD8+_07.RCC,20180209_USDA 46 020918_3 Gd T cell_03.RCC,20180209_USDA 46 020918_3 Monocyte_04.RCC,20180209_USDA 46 020918_3 NK cell_08.RCC,20180209_USDA 46 020918_3 PBMC_12.RCC
Endogenous,CASP10,CASP10,56,89,78,135,65,32,123,79,80,50,97,46,73,64,128,56,54,68,66,61,79,29,121,43
Endogenous,CASP3,CASP3,42,45,36,95,33,72,69,84,54,37,42,115,67,54,50,64,57,46,69,64,61,61,88,56
Endogenous,CASP8,CASP8,27,33,28,51,31,29,39,33,19,23,26,32,40,29,34,29,11,20,24,23,12,20,39,20
Endogenous,CASP9,CASP9,27,50,57,62,33,52,69,71,64,24,111,33,86,65,62,29,21,60,84,67,104,54,88,38
Endogenous,CCL2,CCL2,2,2,5,26,2,2,17,15,13,8,17,6,12,19,10,3,14,7,12,8,20,8,16,5
Endogenous,CCL4,CCL4,5,6,1,22,1,3,86,15,1,17,3,2,5,4,120,6,7,7,6,21,4,1,75,5
Endogenous,CCNB1,CCNB1,15,11,15,18,11,7,12,33,15,18,35,11,27,38,24,22,16,16,39,18,16,21,23,48
Endogenous,CD14,CD14,9,22,34,121,11,159,47,63,73,28,99,199,71,56,60,70,20,44,51,66,102,95,91,17
Endogenous,CD19,CD19,69,3,3,11,2,4,10,4,1,2,5,3,66,88,9,36,93,6,9,2,3,4,13,50
Endogenous,CD3D,CD3D,62,925,768,1026,898,13,637,906,880,855,1084,18,404,53,719,272,16,714,690,649,1088,61,676,304
Endogenous,CD3E,CD3E,80,1280,1018,1494,1421,20,954,1136,1023,870,1469,10,572,29,584,327,13,1075,1053,983,1540,68,287,415
Endogenous,CD3G,CD3G,101,1453,1065,1775,1628,27,1645,1079,1008,1215,1373,6,613,29,1309,328,4,920,942,1049,1396,97,964,392
Endogenous,CD4,CD4,4,167,125,55,5,4,25,123,117,11,54,8,43,27,27,23,7,129,144,18,44,17,33,24
Endogenous,CD55,CD55,276,55,53,186,26,218,71,86,34,61,69,260,417,433,60,259,415,83,69,92,76,209,75,400
